2023-09-13 at 16:52:00 | INFO | Creating the Mismatch Database
2023-09-13 at 16:52:19 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/2b/a87115dc2e2b11b9b4008c9e086cb7/dengue-virus-type-3--11069/work/mismatch.db
2023-09-13 at 16:52:19 | INFO | Read in MSA: 11069_final	seqs:124	cols:10778
2023-09-13 at 16:53:59 | INFO | 11069_final: digested to 519 FKmers and 712 RKmers
2023-09-13 at 16:54:09 | INFO | 11069_final: Generated 4846 possible amplicons
2023-09-13 at 16:54:09 | INFO | Added first amplicon for 11069_final: 119	987	1
2023-09-13 at 16:54:09 | INFO | Added overlapping amplicon for 11069_final: 818	1837	2
2023-09-13 at 16:54:09 | INFO | Added overlapping amplicon for 11069_final: 1453	2476	1
2023-09-13 at 16:54:09 | INFO | Added overlapping amplicon for 11069_final: 2197	3167	2
2023-09-13 at 16:54:09 | INFO | Added overlapping amplicon for 11069_final: 2892	3863	1
2023-09-13 at 16:54:09 | INFO | Added overlapping amplicon for 11069_final: 3451	4410	2
2023-09-13 at 16:54:09 | INFO | Added overlapping amplicon for 11069_final: 4076	5055	1
2023-09-13 at 16:54:11 | INFO | Added overlapping amplicon for 11069_final: 4567	5480	2
2023-09-13 at 16:54:12 | INFO | Added overlapping amplicon for 11069_final: 5295	6297	1
2023-09-13 at 16:54:18 | INFO | Added overlapping amplicon for 11069_final: 5606	6554	2
2023-09-13 at 16:54:19 | INFO | Added walking amplicon for 11069_final: 6457	7478	1
2023-09-13 at 16:54:20 | INFO | Added overlapping amplicon for 11069_final: 7002	7982	2
2023-09-13 at 16:54:21 | INFO | Added walking amplicon for 11069_final: 7839	8718	1
2023-09-13 at 16:54:21 | INFO | Added overlapping amplicon for 11069_final: 8478	9475	2
2023-09-13 at 16:54:27 | INFO | Writting output files
