2023-09-13 at 16:43:03 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:03 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/7f/40e654a184d6aabe1582b8cf4fdbdd/hangzhou-flavivirus-3--2905436/work/mismatch.db
2023-09-13 at 16:43:04 | INFO | Read in MSA: 2905436_final	seqs:1	cols:9631
2023-09-13 at 16:43:07 | INFO | 2905436_final: digested to 5493 FKmers and 5819 RKmers
2023-09-13 at 16:45:03 | INFO | 2905436_final: Generated 623091 possible amplicons
2023-09-13 at 16:45:03 | INFO | Added first amplicon for 2905436_final: 0	1030	1
2023-09-13 at 16:45:03 | INFO | Added overlapping amplicon for 2905436_final: 873	1904	2
2023-09-13 at 16:45:04 | INFO | Added overlapping amplicon for 2905436_final: 1743	2771	1
2023-09-13 at 16:45:04 | INFO | Added overlapping amplicon for 2905436_final: 2607	3637	2
2023-09-13 at 16:45:04 | INFO | Added overlapping amplicon for 2905436_final: 3440	4464	1
2023-09-13 at 16:45:04 | INFO | Added overlapping amplicon for 2905436_final: 4306	5338	2
2023-09-13 at 16:45:04 | INFO | Added overlapping amplicon for 2905436_final: 5180	6210	1
2023-09-13 at 16:45:04 | INFO | Added overlapping amplicon for 2905436_final: 6046	7078	2
2023-09-13 at 16:45:05 | INFO | Added overlapping amplicon for 2905436_final: 6900	7933	1
2023-09-13 at 16:45:05 | INFO | Added overlapping amplicon for 2905436_final: 7765	8793	2
2023-09-13 at 16:45:05 | INFO | Added overlapping amplicon for 2905436_final: 8602	9630	1
2023-09-13 at 16:45:05 | INFO | Writting output files
